Exp;Control;Calculado;Error absoluto;Error Relativo
1;36,2;36,1;0,1;10
1;36,1;36;0,1;10
1;36,2;36,1;0,1;10
1;36,2;36,3;0,1;10
1;36,2;35,9;0,3;30
1;36,4;36,5;0,1;10
1;36,4;36,1;0,3;30
1;37,3;37,6;0,3;30
1;36,1;36;0,1;10
1;36,2;35,6;0,6;60
1;36,2;35,8;0,4;40
1;36,2;37,7;1,5;150
1;36,2;37,7;1,5;150
1;36,2;35,6;0,6;60
1;36;35,8;0,2;20
1;36;35,9;0,1;10
1;36;35,9;0,1;10
1;36,2;36;0,2;20
1;36;35,9;0,1;10
1;36;36;0;0
1;36;35,6;0,4;40
1;36;35,5;0,5;50
1;36;36;0;0
1;35,9;35,6;0,3;30
1;36,1;36;0,1;10
1;36,1;36;0,1;10
1;36;36;0;0
1;36,2;36;0,2;20
1;36,1;36,1;0;0
1;36,1;36;0,1;10
1;36,2;36,2;0;0
1;36,1;36,1;0;0
1;36,2;36,1;0,1;10
2;37,5;37,7;0,2;20
2;37,4;37,8;0,4;40
2;36,4;35,2;1,2;120
2;36,4;36,1;0,3;30
2;36,2;36;0,2;20
2;36,3;36;0,3;30
2;37,3;37,6;0,3;30
2;37,4;37,7;0,3;30
2;36,4;36;0,4;40
2;36,3;36;0,3;30
2;36,3;36;0,3;30
2;36,3;36,5;0,2;20
2;36,3;36,1;0,2;20
2;36,3;36,2;0,1;10
2;36,4;36,2;0,2;20
2;36,4;36,3;0,1;10
2;36,4;36,2;0,2;20
2;36,5;36,3;0,2;20
2;36,8;36,2;0,6;60
2;36,5;36,5;0;0
2;36,3;36,2;0,1;10
2;36,5;36,3;0,2;20
2;36,6;36,3;0,3;30
2;36,1;36,1;0;0
2;36;36,1;0,1;10
2;36,6;36,3;0,3;30
2;37,5;39,2;1,7;170
PROMEDIO;36,3;36,3;0,3;30
DESVIACION;0,397630695;0,697890283;;
MEDIANA;36,2;36,1;;
MODA;36,2;36;;
